UpdateTime,UpdateInterval,AuthorityCode,ETagPairID,StartETagStatus,EndETagStatus,VehicleType,TravelTime,StandardDeviation,SpaceMeanSpeed,VehicleCount,StartTime,EndTime,DataCollectTime,vd_avg_Speed,vd_avg_Occupancy,vd_avg_Volume,vd_avg_VSpeed,vd_LaneID,vd_week_day,rain,temp
2025-05-22T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,32,96,0,95,10,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,89,2,3,88,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,31,27,0,104,33,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,101,4,4,100,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,31,27,0,104,33,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,89,4,5,88,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,32,28,0,100,13,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,101,4,4,100,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,32,28,0,100,13,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,89,4,5,88,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,31,223,0,100,33,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,108.75,1.75,3,107.75,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,31,223,0,100,33,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,96.625,2.5,4,95.625,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,31,223,0,100,33,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,91.3333333333333,2.66666666666667,4,90.3333333333333,2,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,32,220,0,100,12,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,108.75,1.75,3,107.75,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,32,220,0,100,12,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,96.625,2.5,4,95.625,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,32,220,0,100,12,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,91.3333333333333,2.66666666666667,4,90.3333333333333,2,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0206S-01H0305S,0,0,31,343,0,100,27,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,103.181818181818,1.27272727272727,1.72727272727273,102.181818181818,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0206S-01H0305S,0,0,31,343,0,100,27,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,96,11.2727272727273,3.54545454545455,95.1818181818182,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0206S-01H0305S,0,0,31,343,0,100,27,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,103.5,2,2.75,102.5,2,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0206S-01H0305S,0,0,32,362,0,97,3,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,103.181818181818,1.27272727272727,1.72727272727273,102.181818181818,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0206S-01H0305S,0,0,32,362,0,97,3,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,96,11.2727272727273,3.54545454545455,95.1818181818182,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0206S-01H0305S,0,0,32,362,0,97,3,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,103.5,2,2.75,102.5,2,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0305S-01H0334S,0,0,31,108,0,93,20,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,107.666666666667,1.33333333333333,2.33333333333333,106.666666666667,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0305S-01H0334S,0,0,31,108,0,93,20,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,98.6666666666667,1,2.66666666666667,97.6666666666667,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0305S-01H0334S,0,0,31,108,0,93,20,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,105.5,2.5,3,104.5,2,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0305S-01H0334S,0,0,31,108,0,93,20,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,89,1,1,88,3,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0305S-01H0334S,0,0,32,106,0,97,7,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,107.666666666667,1.33333333333333,2.33333333333333,106.666666666667,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0305S-01H0334S,0,0,32,106,0,97,7,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,98.6666666666667,1,2.66666666666667,97.6666666666667,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0305S-01H0334S,0,0,32,106,0,97,7,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,105.5,2.5,3,104.5,2,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0305S-01H0334S,0,0,32,106,0,97,7,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,89,1,1,88,3,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,31,99,0,93,16,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,104.5,1.5,2.5,103.5,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,31,99,0,93,16,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,89,2,3,88,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,32,96,0,95,10,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,104.5,1.5,2.5,103.5,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,32,96,0,95,10,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,89,2,3,88,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,31,27,0,104,33,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,101,4,4,100,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,31,27,0,104,33,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,89,4,5,88,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,32,28,0,100,13,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,101,4,4,100,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,32,28,0,100,13,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,89,4,5,88,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,31,223,0,100,33,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,108.75,1.75,3,107.75,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,31,223,0,100,33,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,96.625,2.5,4,95.625,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,31,223,0,100,33,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,91.3333333333333,2.66666666666667,4,90.3333333333333,2,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,32,220,0,100,12,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,108.75,1.75,3,107.75,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,32,220,0,100,12,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,96.625,2.5,4,95.625,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,32,220,0,100,12,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,91.3333333333333,2.66666666666667,4,90.3333333333333,2,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0206S-01H0305S,0,0,31,343,0,100,27,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,103.181818181818,1.27272727272727,1.72727272727273,102.181818181818,0,5,0,24
